Name,URI,Artist,Release Year,Genre,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
You and Me,spotify:track:4KE91Xg3FL51yMhnpSqRvE,Nature TV,2021,Unknown,0.506,0.56,11,-7.39,0,0.0238,0.18,0.442,0.119,0.427,86.976,225618,4
Comin' Home Baby,spotify:track:71tjsDvB4EMJqNG8EMmFnb,Mel Tormé,2005,"adult standards, easy listening, lounge, swing, vocal jazz",0.632,0.368,7,-14.901,0,0.061,0.65,0,0.189,0.773,143.121,165360,4
50s - headiokart remix,spotify:track:7icQPo2P0hH7bskJS9WhLN,Headie One,2022,uk hip hop,0.836,0.847,0,-5.304,1,0.281,0.243,0.000185,0.114,0.721,140.089,166286,4
LA Confidential,spotify:track:5CYRfPViGWqsLoypm1bX4u,Tory Lanez,2016,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",0.586,0.643,6,-6.615,0,0.053,0.0104,0,0.493,0.351,157.018,174093,4
Ninne Ninne,spotify:track:6plyDAqUmEjWVPjM12udlU,Chakri,2006,tollywood,0.749,0.989,5,-5.239,0,0.171,0.208,0.00802,0.119,0.434,105.034,277540,4
Back on the Road Again,spotify:track:63tg0BOsXkohsjx3B87ui6,REO Speedwagon,2004,"album rock, classic rock, glam metal, hard rock, mellow gold, rock, soft rock",0.452,0.817,8,-7.743,1,0.0593,0.000157,2.27e-05,0.221,0.412,126.04,328733,4
A Cold Sunday,spotify:track:1Y1jtaZOJYgXBl7lKdLc9o,Lil Yachty,2024,"atl hip hop, melodic rap, rap, trap",0.575,0.86,9,-3.165,0,0.23,0.298,0,0.0973,0.834,76.54,107314,1
Lose Control,spotify:track:3DLWVhaowApIGw1JnJj6GS,James Hype,2023,"deep groove house, house, pop dance, uk dance",0.714,0.936,9,-3.693,1,0.0426,0.0338,0.0239,0.244,0.243,128.011,173438,4
Rooftop,spotify:track:1eMWdrMNzPuGOwsAeKlXBW,Tensnake,2023,"deep house, german house, hamburg electronic, house, nu disco",0.777,0.69,6,-6.227,1,0.0382,0.0278,0.0717,0.0975,0.844,116.998,199440,4
3am in Chicago,spotify:track:4Uqva3pLS6FYEQSzxwUWnC,Brendan Bennett,2018,Unknown,0.76,0.628,0,-6.75,1,0.0428,0.127,6.76e-05,0.0632,0.835,105.992,182505,4
Dirty Water,spotify:track:52rbzvOCmHgprzUaMqZEPK,Marc E. Bassy,2016,indie pop rap,0.666,0.408,1,-7.464,1,0.0393,0.404,0.00251,0.0316,0.474,92.01,161107,4
TAKE IT OFF,spotify:track:7zp9FOU4cjFdGN1zdWTvcB,FISHER,2023,"australian house, house",0.884,0.707,1,-6.607,1,0.202,0.000502,0.258,0.363,0.582,127.013,194604,4
"Young Miko: Bzrp Music Sessions, Vol. 58",spotify:track:6VciS3dRMpZhJiDxT8ArFi,Bizarrap,2024,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino",0.566,0.614,7,-6.946,0,0.144,0.494,0,0.116,0.439,96.123,187173,4
redrum,spotify:track:52eIcoLUM25zbQupAZYoFh,21 Savage,2024,"atl hip hop, hip hop, rap",0.625,0.733,2,-8.757,1,0.0488,0.00598,0.000983,0.375,0.244,172.09,270698,4
Shiver,spotify:track:1ls2PNiOHOxmSfHRyslgAl,John Summit,2024,"house, pop dance, uk dance",0.537,0.924,4,-4.616,0,0.034,0.0013,3.42e-05,0.108,0.0623,127.025,234331,4
Dakota,spotify:track:3qaSqrrevBrb84xl5JlptU,Stereophonics,2005,"britpop, welsh rock",0.506,0.93,4,-3.499,1,0.0675,0.129,0.00682,0.0931,0.305,146.994,297427,4
Choose U,spotify:track:0kCZ2X6kIXZ5zRMrPx8Usx,Project Pat,2002,"crunk, dirty south rap, gangster rap, memphis hip hop, trap",0.746,0.693,7,-6.742,1,0.0409,0.0381,0.000859,0.231,0.573,155.696,178493,4
HVN ON EARTH (with Kodak Black),spotify:track:4367dXCt02KMgELPisJ2D4,Lil Tecca,2023,"melodic rap, pluggnb, rap",0.727,0.637,8,-5.185,1,0.0779,0.0684,0.000294,0.131,0.215,131.997,188870,3
Where Is My Mind? - 2007 Remaster,spotify:track:7wCmS9TTVUcIhRalDYFgPy,Pixies,1988,"alternative rock, boston rock, permanent wave, rock",0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,234973,4
Naturally,spotify:track:1YaVmBh7EAeR54FIjuFcb5,Selena Gomez & The Scene,2009,pop,0.605,0.902,10,-5.406,0,0.0511,0.0185,1.01e-06,0.0534,0.875,132.612,202587,4
Hard (feat. Tay-K and BlocBoy JB),spotify:track:32OkBQinMWqa7ZydEkHqVi,No Jumper,2018,Unknown,0.886,0.542,1,-5.424,1,0.338,0.113,0,0.151,0.314,83.519,138997,4
Chloe,spotify:track:20B2qz6aicc02bifgW6k3S,Quarters of Change,2022,nyc indie rock,0.436,0.93,0,-4.259,1,0.123,0.00068,0.000274,0.333,0.476,167.993,277889,4
Montagem Mysterious Game,spotify:track:7vOmSP2647oNUGGEhWd1cr,LXNGVX,2023,"gym phonk, krushfunk",0.537,0.64,1,-10.441,1,0.104,0.146,0.878,0.157,0.222,130.051,103495,4
white silhouette,spotify:track:4FbOt5yafRkJuEYJeDzbMt,D4WN,2023,sped up,0.646,0.795,6,-12.564,1,0.0704,0.247,0.704,0.133,0.516,135.978,85760,4
Cannock Chase,spotify:track:0WAEGVylZjbe2mQ6Or6HxY,Labi Siffre,1972,classic uk pop,0.381,0.484,6,-11.858,0,0.0334,0.861,0.931,0.129,0.492,123.7,246867,4
Tomioka,spotify:track:6pDEVRbnV7xwT0EHFY41HC,Jay Eazy,2022,Unknown,0.761,0.573,6,-11.405,0,0.436,0.086,0,0.128,0.606,154.189,137536,4
Luna - 2011 Remaster,spotify:track:5Q6Xzp25aXYxNJ4B6vBkcf,The Smashing Pumpkins,1993,"alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge",0.574,0.274,9,-13.553,1,0.0286,0.0111,0.786,0.123,0.111,125.652,202320,4
High,spotify:track:2iVtt0mYIL26IGAgRkhHT5,The Cure,1992,"new wave, permanent wave, rock, uk post-punk",0.618,0.717,9,-12.107,1,0.03,0.0164,0.000339,0.0594,0.761,114.802,213333,4
The Dolphins,spotify:track:6OiXHMVgq95x3GDIe7MMA0,Fred Neil,1966,"american folk revival, brill building pop, singer-songwriter",0.483,0.365,2,-14.455,1,0.0963,0.118,0.0076,0.0785,0.576,122.92,245133,3
12:51,spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,The Strokes,2003,"alternative rock, garage rock, modern rock, permanent wave, rock",0.451,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.592,145.056,153133,4
Must Get Out,spotify:track:7BMFfYoeXMXMX2mVCy2NVz,Maroon 5,2002,pop,0.748,0.529,7,-6.641,1,0.0323,0.053,0,0.338,0.317,97.017,239440,4
聖誕星,spotify:track:0QZ5ixTvCuUbqfRN7x5jK4,Jay Chou,2023,"c-pop, mandopop, taiwan pop, zhongguo feng",0.842,0.61,11,-9.334,0,0.0396,0.415,0.0296,0.31,0.717,131.989,182727,4
alright (feat. The Kid LAROI),spotify:track:1uQ5oCjZvQsMZaBFAdkSuF,EKKSTACY,2024,zoomergaze,0.492,0.72,1,-4.588,1,0.0425,0.000555,3.65e-05,0.137,0.458,176.967,129880,4
City Life - Maceo Plex Remix,spotify:track:2YeHroqChXQBgMTZDLDJKX,DJ T.,2011,"deep disco house, frankfurt electronic, microhouse, minimal tech house",0.792,0.777,3,-9.154,0,0.0709,0.00238,0.855,0.593,0.459,121.0,449113,4
It Had To Be You,spotify:track:0Ab4lEHfPY98aqtQrKQbUu,Frank Sinatra,1980,"adult standards, easy listening, lounge",0.285,0.142,10,-18.543,1,0.0361,0.809,8.4e-05,0.0905,0.15,138.069,234667,4
I Like It,spotify:track:1c5KZhtOAOH7eFOlBekNhS,DeBarge,1982,"contemporary r&b, funk, quiet storm, urban contemporary",0.675,0.732,9,-4.5,1,0.0443,0.452,1.84e-05,0.201,0.83,175.01,279400,4
No More ?'s,spotify:track:7y9yjpRtZajYzVpXHRjwGz,Eazy-E,1988,"g funk, gangster rap, hip hop, rap, west coast rap",0.935,0.805,7,-4.782,1,0.225,0.0143,1.53e-06,0.298,0.624,105.641,234360,4
supervillain,spotify:track:7yWHI7GcCijOxrQxgZfZJO,Cash!*,2023,Unknown,0.474,0.673,5,-11.146,0,0.0337,0.000188,0.771,0.184,0.0754,132.159,104938,4
Spicy Margarita,spotify:track:6TFUhEcEsqGVMZeZtAeUzN,Jason Derulo,2024,"dance pop, pop",0.713,0.834,6,-4.754,0,0.124,0.013,0,0.237,0.672,129.989,154376,4
It's the Falling in Love,spotify:track:0CeE7kE8zAnfKIVpdmOaJl,Michael Jackson,1979,"r&b, soul",0.794,0.551,0,-14.607,1,0.0498,0.206,1.01e-05,0.289,0.91,105.547,227867,4
Lovesong - 2010 Remaster,spotify:track:0X5C4WjQNubRysTkHOubz3,The Cure,1989,"new wave, permanent wave, rock, uk post-punk",0.611,0.813,9,-7.689,0,0.0279,0.339,0.898,0.224,0.821,140.112,209573,4
Sk8er Boi,spotify:track:00Mb3DuaIH1kjrwOku9CGU,Avril Lavigne,2002,"canadian pop, candy pop, dance pop, pop",0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0,0.358,0.484,149.937,204000,4
Hawk Em,spotify:track:2ZRdQMMKtmPLdYp9aP5cK5,Pop Smoke,2019,"brooklyn drill, hip hop, rap",0.68,0.607,2,-5.523,1,0.222,0.264,1.39e-05,0.354,0.506,141.992,118800,4
"i don't wanna fall in love, it's too late now",spotify:track:4OPcKAVpIquCyW94TEaD3A,Chase Shakur,2022,Unknown,0.352,0.344,9,-7.467,0,0.0355,0.773,0,0.377,0.341,107.722,55049,3
Toronto 2014 (with Mustafa),spotify:track:3AvpyCAgied0ZUj2Y1nJey,Daniel Caesar,2023,canadian contemporary r&b,0.679,0.335,0,-10.837,1,0.0574,0.891,0.0071,0.149,0.374,135.002,277519,4
Untitled,spotify:track:0yeSknpYINjXT25ilz4wpr,Kate Bollinger,2019,"charlottesville indie, indie pop",0.73,0.51,7,-10.386,1,0.0456,0.369,0.322,0.0925,0.665,78.944,179500,4
Suddenly,spotify:track:77iRifbhkJGvGBBRNykUwN,Drugdealer,2016,"indie garage rock, neo-psychedelic, psychedelic pop",0.651,0.465,4,-7.538,1,0.0328,0.503,0.0455,0.495,0.585,107.75,197040,4
Qualified - The Global Edition,spotify:track:2qMO652BP6efaUzr5hK6Ae,Snoop Dogg,2022,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",0.62,0.904,11,-3.871,0,0.192,0.059,3.26e-06,0.294,0.626,160.199,252022,4
Take Me Where Your Heart Is,spotify:track:1RJl5cZ8kFpoVFOS2x6scI,Q,2021,"alternative r&b, indie r&b",0.858,0.426,10,-8.879,0,0.0402,0.00586,0.761,0.0977,0.419,89.981,192897,4
That's All - 2007 Remaster,spotify:track:2zFdsAIk9r2Mi7Lmm1w3sM,Genesis,1983,"album rock, art rock, classic rock, hard rock, mellow gold, progressive rock, rock, soft rock, symphonic rock",0.596,0.657,4,-8.784,0,0.0345,0.235,0.0139,0.102,0.774,175.263,264573,4
Pictures of You,spotify:track:2cAZ6Pxbq34h5rgUr7hZKC,Drugdealer,2022,"indie garage rock, neo-psychedelic, psychedelic pop",0.925,0.317,6,-14.605,0,0.0663,0.505,0.66,0.104,0.808,114.507,189467,4
Batman (Carti),spotify:track:4pVXPcFbrJXM0lN18Yja2g,percocet,2024,Unknown,0.556,0.708,1,-5.866,0,0.0602,0.0919,7.98e-06,0.17,0.198,132.22,134699,4
Lancaster Nights,spotify:track:48jV8AW50589btXi0Hs5f4,Charlie Burg,2020,"ann arbor indie, bedroom soul",0.745,0.387,1,-12.839,0,0.0327,0.179,0.00633,0.0736,0.772,95.985,190470,4
Connecting Dots,spotify:track:63jF2IuG4wYgTfQ81GvIUn,Kate Bollinger,2022,"charlottesville indie, indie pop",0.764,0.473,2,-9.27,1,0.0384,0.688,0.0708,0.106,0.248,92.97,274064,4
Truth Is,spotify:track:5FCk6Yk6ZY2fOX7H1QrVly,Tara George,2022,Unknown,0.815,0.536,7,-6.873,1,0.066,0.48,3.29e-05,0.0695,0.817,91.045,153869,4
Anyone But You,spotify:track:4faTuWPQeMo24zvuTDre3c,Still Woozy,2023,"bedroom pop, oakland indie, pov: indie",0.607,0.427,8,-11.952,1,0.0302,0.821,0.13,0.15,0.243,89.991,176000,4
Just A Kiss,spotify:track:2nRvKHh2mtOfIQ4jcAkP9q,Lady A,2011,"contemporary country, country, country dawn, country pop, country road",0.593,0.639,1,-5.826,1,0.0307,0.446,0,0.0998,0.332,142.881,218840,4
Three Times A Lady,spotify:track:4ztwMHfPZhPoruZdBbgriM,Commodores,1985,"adult standards, disco, funk, mellow gold, motown, quiet storm, soft rock, soul",0.39,0.0803,8,-20.518,1,0.0306,0.874,0.000639,0.127,0.184,150.503,217427,3
Vois sur ton chemin - Techno Mix,spotify:track:31nfdEooLEq7dn3UMcIeB5,BENNETT,2023,hypertechno,0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,178156,4
Nine Ball,spotify:track:3xOi0YhDREKRURFHoNaAOQ,Zach Bryan,2023,classic oklahoma country,0.597,0.658,7,-4.38,1,0.044,0.11,0,0.131,0.38,134.545,169941,4
Summer High,spotify:track:1aL9518P5G72N92b48tuKw,AP Dhillon,2022,"desi pop, punjabi hip hop, punjabi pop",0.86,0.541,1,-6.51,0,0.0325,0.165,0.163,0.0663,0.952,114.984,177391,4
X & CUD (with XXXTENTACION),spotify:track:387j61utwXNE7Bvi5UTR2k,Kid Cudi,2024,"hip hop, ohio hip hop, pop rap, rap",0.584,0.727,1,-8.815,1,0.149,0.715,0.00366,0.14,0.417,163.983,166627,4
Dil Nu,spotify:track:7AsG1F1eMWd17RYan8M3Wm,AP Dhillon,2022,"desi pop, punjabi hip hop, punjabi pop",0.811,0.655,1,-7.118,0,0.0353,0.0947,1.63e-06,0.068,0.925,117.979,233666,4
Love Theme,spotify:track:1w5LNMQslctoeOwoQjwqnu,Michael Small,1971,Unknown,0.583,0.278,0,-12.279,1,0.0251,0.911,0.849,0.108,0.334,106.969,87368,4
Barbie World (with Aqua),spotify:track:2tQG2nFEHhWsH05kFKlC4A,Nicki Minaj,2023,"hip pop, pop, queens hip hop, rap",0.759,0.579,0,-8.398,1,0.248,0.514,0.0014,0.237,0.736,144.025,109750,4
I'm Just Ken,spotify:track:3zXIvb4nZ3cTdT8CsbTy3U,Ryan Gosling,2023,hollywood,0.352,0.628,1,-6.259,1,0.0428,0.0264,4.74e-05,0.0952,0.387,140.431,222634,4
Slow Motion,spotify:track:6ihObRBTB8xdSH2mlERtOX,JUVENILE,2003,"bounce, crunk, dirty south rap, new orleans rap, southern hip hop, trap",0.713,0.734,0,-4.894,0,0.325,0.548,0,0.0687,0.89,172.872,248200,4
Mirrors,spotify:track:4rHZZAmHpZrA3iH5zx8frV,Justin Timberlake,2013,"dance pop, pop",0.574,0.512,5,-6.664,0,0.0503,0.234,0,0.0946,0.512,76.899,484147,4
Just the Way You Are,spotify:track:49MHCPzvMLXhRjDantBMVH,Billy Joel,1977,"album rock, classic rock, mellow gold, piano rock, rock, singer-songwriter, soft rock",0.589,0.453,7,-8.912,1,0.0397,0.703,2.54e-05,0.134,0.513,139.148,290573,4
Standing Next to You (USHER Remix),spotify:track:0VPFT123HKoQ2J6ipeDcI1,Jung Kook,2023,k-pop,0.661,0.823,9,-4.329,0,0.127,0.0536,0,0.369,0.761,105.993,214760,4
"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)",spotify:track:1OzrlK57iLTIjmbZC1ppWM,Dionne Warwick,1985,"adult standards, brill building pop, disco, quiet storm, soft rock, soul, vocal jazz",0.68,0.242,0,-16.264,0,0.0322,0.509,4.34e-05,0.071,0.169,120.126,255933,4
Ribbon In The Sky,spotify:track:1Y5B1vvFDia8MtyM16UgnN,Stevie Wonder,1982,"motown, soul",0.6,0.317,10,-13.705,0,0.0293,0.731,0.00172,0.1,0.367,136.799,337067,4
Isn't She Lovely,spotify:track:3NlLmKBJozwoi0k03Feb1N,Stevie Wonder,2002,"motown, soul",0.747,0.692,1,-8.956,0,0.0474,0.202,3.39e-05,0.0698,0.904,118.698,199387,4
I Just Called To Say I Love You,spotify:track:6RNDeRnWsRMjPdNVgupZCs,Stevie Wonder,1999,"motown, soul",0.748,0.551,1,-9.054,1,0.0239,0.243,1.57e-06,0.0943,0.65,113.535,262240,4
Unsatisfied,spotify:track:6O0dH7XF1PAMu1cApZD2sa,The Replacements,2009,"alternative rock, permanent wave, post-punk, power pop, punk, singer-songwriter",0.509,0.885,0,-4.23,1,0.0327,0.0101,0.0019,0.344,0.351,120.873,242520,4
Evil,spotify:track:1J2omnkUr2paIcsL9JtaMH,Stevie Wonder,1972,"motown, soul",0.216,0.395,5,-11.158,1,0.0318,0.698,0.000711,0.0954,0.116,143.906,213707,4
Mrs Magic,spotify:track:0TZejo18HlJ86OrWNsXKnw,Strawberry Guy,2019,bedroom pop,0.471,0.634,8,-7.406,1,0.031,0.159,0.365,0.374,0.366,132.542,208500,4
Everybody Loves The Sunshine,spotify:track:5le4sn0iMcnKU56bdmNzso,Roy Ayers Ubiquity,1976,"jazz funk, p funk, soul jazz",0.52,0.571,11,-10.326,0,0.036,0.168,5.14e-06,0.17,0.701,161.051,239667,3
Please Don't Leave Me,spotify:track:2gnZad0pb6QtUqMLTj2AjI,P!nk,2008,"dance pop, pop",0.588,0.845,6,-4.497,1,0.0377,0.00869,0,0.326,0.745,138.014,231560,4
Demon Slayer Opening,spotify:track:2MClClAUxPLXya3bmClsIk,Amy B,2020,otacore,0.525,0.627,7,-13.206,1,0.0842,0.00842,0.0072,0.0784,0.69,135.083,92022,4
Neva Missa Lost,spotify:track:4Q40ZOINE8zsLJE3pWIqix,Future,2017,"atl hip hop, hip hop, rap, southern hip hop, trap",0.747,0.492,11,-8.399,0,0.11,0.271,1.11e-05,0.263,0.189,124.87,238010,4
Sextape,spotify:track:1EryAkZ0VHstC6haIxVBiE,Deftones,2008,"alternative metal, nu metal, rap metal, rock, sacramento indie",0.367,0.634,5,-6.475,1,0.027,0.000824,0.0759,0.116,0.0964,89.981,241533,4
Y.D.L.R.,spotify:track:0ZHLqpysyyJil6TlEJAZY9,Tory Lanez,2021,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",0.509,0.435,4,-10.231,0,0.0812,0.324,2.28e-06,0.0989,0.222,75.2,146000,4
Sabor a Mi,spotify:track:5kB8WUUla9s2w7yXD7h4CQ,Luis Miguel,1997,"bolero, latin pop",0.663,0.579,10,-6.982,1,0.0269,0.645,0,0.189,0.48,89.929,185040,4
Violet,spotify:track:4i85oysQdNeP8M7pqUH9sr,Majid Jordan,2023,"canadian contemporary r&b, canadian hip hop",0.684,0.444,8,-7.395,1,0.0406,0.568,0.0297,0.112,0.149,149.925,438400,4
Waiting For You (feat. Naomi Sharon),spotify:track:6ARYP4KyGydosXyxtzlDdc,Majid Jordan,2023,"canadian contemporary r&b, canadian hip hop",0.744,0.572,10,-5.198,0,0.0387,0.59,0.01,0.105,0.557,81.97,219999,4
Spiked Seltzer,spotify:track:2tew75PVGb8RnuswH0L7yf,Scarlet Demore,2022,Unknown,0.561,0.919,0,-6.219,1,0.0396,0.00106,0.000932,0.803,0.698,105.002,137143,4
24K Magic,spotify:track:6b8Be6ljOzmkOmFslEb23P,Bruno Mars,2016,"dance pop, pop",0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,225983,4
10:35,spotify:track:6BePGk3eCan4FqaW2X8Qy3,Tiësto,2022,"big room, brostep, dutch edm, edm, house, pop dance, progressive electro house, slap house, trance",0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,172253,4
Everywhere,spotify:track:1u0l8zWpQeMYStFkc2mLD7,Michelle Branch,2001,"candy pop, dance pop, lilith, neo mellow, pop rock",0.523,0.828,1,-4.696,1,0.0762,0.0136,0.000255,0.165,0.476,96.952,214827,4
California,spotify:track:4lXbVIprNR0de0Rjjzj9Am,Berhana,2019,"alternative r&b, indie r&b",0.598,0.475,1,-11.941,1,0.0524,0.0716,9.23e-05,0.0678,0.331,85.013,304985,4
Pistol,spotify:track:2nD9CUfMMUVxL0UyFs8fGG,Cigarettes After Sex,2022,"ambient pop, dream pop, el paso indie, shoegaze",0.651,0.441,7,-11.74,1,0.0346,0.519,0.708,0.0959,0.373,109.979,234174,4
leavemealone,spotify:track:1MVqeIAwhD4T44AKVkIfic,Fred again..,2023,"edm, house, stutter house",0.68,0.881,0,-4.503,1,0.0553,0.00499,0.0253,0.574,0.105,174.062,222784,4
Ordinary World,spotify:track:0wokCRaKD0zPNhMRXAgVsr,Duran Duran,1993,"album rock, dance rock, new romantic, new wave, new wave pop, rock, soft rock, synthpop",0.473,0.652,1,-10.171,0,0.0305,0.0132,1.13e-05,0.14,0.401,140.117,340200,4
Songbird,spotify:track:1HQAvqPT5ybjUQMWTU2tGf,Kenny G,2006,"smooth jazz, smooth saxophone",0.475,0.477,7,-9.284,1,0.0307,0.0595,0.805,0.121,0.109,135.383,303253,4
Freaks,spotify:track:7EkWXAI1wn8Ii883ecd9xr,Surf Curse,2021,"dreamo, indie surf, pov: indie, surf punk, vegas indie",0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062,4
Blank,spotify:track:2gpkmR9oX3Jk6rDI6KUwHj,Glare,2017,"atlanta indie, grungegaze, nu gaze, texasgaze, zoomergaze",0.304,0.682,3,-6.699,0,0.0443,0.0071,0.16,0.152,0.0795,158.006,216089,4
28 Days Later Theme,spotify:track:3hiJK2PEvlZDdA21ZjZYTK,Chris F,2021,Unknown,0.566,0.229,2,-14.561,0,0.0325,0.00779,0.767,0.213,0.0373,75.711,209247,4
everlong - slowed + reverb,spotify:track:0A3x6KNn7VJLAcZKVZZEiL,Lone Wolf Pack,2023,Unknown,0.388,0.496,10,-16.891,1,0.0401,9.18e-06,0.000542,0.11,0.338,126.4,317038,4
Watermelon Moonshine,spotify:track:6KaKmX6EIu3x2057HoZwQF,Lainey Wilson,2022,"contemporary country, modern country pop",0.739,0.413,1,-6.709,1,0.0282,0.47,2.51e-05,0.131,0.649,139.921,208853,4
Always Remember Us This Way,spotify:track:74iZuPGwyL33VlTr6jTnab,Lady Gaga,2018,"art pop, dance pop, pop",0.549,0.502,0,-5.972,1,0.0405,0.299,0,0.764,0.291,129.842,210200,4
Again!,spotify:track:70MQXSq5QDmJeflhjNke7Y,Earl Stan,2022,Unknown,0.654,0.46,1,-12.183,1,0.0504,0.177,5.77e-05,0.128,0.373,149.992,134612,4
Boom Clap,spotify:track:0Y1MWB026LYxGvhq4EcMiC,Charli xcx,2014,"art pop, candy pop, metropopolis, pop, uk pop",0.659,0.911,4,-2.28,1,0.0786,0.154,0.000304,0.191,0.576,91.999,169866,4
Dun Know,spotify:track:1uMWFRpXmC3HHrLfh7APBz,Novelist,2020,"grime, uk alternative hip hop",0.866,0.513,11,-11.075,0,0.116,0.0883,0.0186,0.0929,0.339,134.972,266710,4
Chestnuts Roasting On An Open Fire,spotify:track:0ni5C9Gg8IlL4P2LCNuSzg,Mil Dawn,2021,Unknown,0.431,0.48,1,-10.254,1,0.139,0.61,0.000349,0.198,0.338,110.047,168250,1
Blue Notes,spotify:track:7Gs3otHnZDq514kFHf0nx7,Meek Mill,2016,"hip hop, philly rap, pop rap, rap, southern hip hop, trap",0.515,0.431,4,-8.251,1,0.257,0.665,0,0.147,0.184,141.392,227809,4
Karma Police,spotify:track:63OQupATfueTdZMWTxW03A,Radiohead,1997,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",0.36,0.501,7,-9.129,1,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,264067,4
Prom King // Love On Acid,spotify:track:7LJL13S2cc7wrz5Am7xlPh,Tory Lanez,2023,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",0.543,0.843,0,-5.359,1,0.0545,0.00365,0,0.126,0.358,170.032,253184,4
Van Cleef Island,spotify:track:7icE6vfC4ImoHHMJAZFn2Q,Trippie Redd,2023,"melodic rap, rap, trap",0.678,0.843,7,-4.101,1,0.15,0.135,0,0.104,0.348,116.228,151141,4
To Live And Die In L.A.,spotify:track:4H3eeEecmb1lIqUfo99d8G,Makaveli,1996,"gangster rap, hip hop, singeli",0.579,0.818,9,-7.635,0,0.313,0.241,0,0.775,0.753,173.832,273427,4
Low Life (feat. The Weeknd),spotify:track:7EiZI6JVHllARrX9PUvAdX,Future,2016,"atl hip hop, hip hop, rap, southern hip hop, trap",0.722,0.331,8,-7.789,1,0.0726,0.337,0.282,0.146,0.102,143.961,313547,4
Chug Jug With You (Number One Victory Royale),spotify:track:15RSD04RKmM1fjrBONNtqK,LeviathanJPTV,2021,meme,0.616,0.587,4,-9.911,0,0.486,0.706,0,0.163,0.478,117.522,185085,4
Last Christmas,spotify:track:12vKXnjorAWWFsz4P8M0eb,Crystal Rock,2022,"hypertechno, slap house",0.717,0.897,11,-6.047,0,0.142,0.0184,1.6e-05,0.335,0.436,128.009,185619,4
White Christmas - Techno Remix,spotify:track:2qYPyxAuzQkP31QDOkOHqD,BVBATZ,2023,techno remix,0.637,0.663,9,-8.569,1,0.0663,0.0363,2.3e-05,0.0806,0.352,150.031,106546,4
You Don't Know Me,spotify:track:2oqZBBjKNMfl9sdhnvCYgB,Michael Bublé,2005,"adult standards, canadian pop, jazz pop, lounge",0.341,0.359,0,-9.471,1,0.0356,0.844,6.73e-05,0.103,0.301,185.064,253973,3
One Last Breath,spotify:track:42T2QQv3xgBlpQxaSP7lnK,Creed,2001,"alternative metal, nu metal, post-grunge",0.386,0.677,2,-5.83,1,0.0346,0.00841,0.00366,0.341,0.195,126.602,238240,4
Millions From Now,spotify:track:1CXZZX9uwsTw2FI6inq8l8,2 Chainz,2023,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap",0.778,0.476,7,-5.253,1,0.0518,0.101,0.000336,0.393,0.331,123.983,139797,4
Cat's in the Cradle,spotify:track:2obblQ6tcePeOEVJV6nEGD,Harry Chapin,1974,"classic rock, country rock, folk, folk rock, mellow gold, singer-songwriter, soft rock",0.489,0.578,10,-9.766,1,0.0418,0.234,0,0.123,0.511,78.111,222951,4
He Won't Go,spotify:track:3uVsdnIglL7aTjm8X08J0M,Adele,2011,"british soul, pop, pop soul, uk pop",0.706,0.57,0,-7.045,0,0.086,0.0225,0,0.0754,0.728,159.908,278040,4
Daydreamer,spotify:track:1JZkTZEXkLvkR2oQ9PSKuO,Adele,2008,"british soul, pop, pop soul, uk pop",0.807,0.105,9,-13.188,1,0.0412,0.964,0,0.103,0.372,109.014,220507,4
Loner at Sunset,spotify:track:6Hqz3gc4lksobakFtxFkRi,Tory Lanez,2023,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",0.654,0.646,9,-10.463,0,0.0441,0.239,0.00179,0.135,0.0925,106.464,90524,4
Wondering Why,spotify:track:158mZIMC4X58ZJK4fJfH1b,The Red Clay Strays,2022,Unknown,0.524,0.209,4,-12.437,1,0.0405,0.85,0,0.173,0.347,148.59,232918,3
Home,spotify:track:4wLZ4zPM9c4oe1VV8ejdWV,Michael Bublé,2005,"adult standards, canadian pop, jazz pop, lounge",0.608,0.37,7,-9.207,1,0.0306,0.844,1.87e-05,0.112,0.349,127.631,225907,4
